Problem,Answer,Solution,Grade,Unit_Name,Lesson_Name,Exercise_Name,Topic,Question_Type,Integer_Answer,Split
"How much money would you need to buy a bathing suit, a shovel, and a pail ?  A pail costs 2 dollars, a shovel costs a dollar and a bathing suit costs 12 dollars.",15,"To find out how much money you would need in total, you simply add the cost of each item together. The cost of the bathing suit is 12 dollars, the shovel is 1 dollar, and the pail is 2 dollars. Therefore, the total cost is 12 + 1 + 2 = 15 dollars.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
"My best friend has 2 dogs, 3 fish, and 1 cat. How many pets does my best friend have?",6,"To find out how many pets your best friend has, you simply add the number of each type of pet together. Your best friend has 2 dogs, 3 fish, and 1 cat. So, you calculate: 2 (dogs) + 3 (fish) + 1 (cat) = 6 pets in total. Therefore, your best friend has 6 pets.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
"I read 2 books on Monday, 2 books on Tuesday, and 1 book today. How many books have I read so far this week?",5,"To find out how many books you've read so far this week, simply add the number of books you read each day. You read 2 books on Monday, 2 books on Tuesday, and 1 book today (assuming today is Wednesday). Calculating this gives you: 2 (Monday) + 2 (Tuesday) + 1 (Today) = 5 books. So, you have read a total of 5 books so far this week.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
"The witch has 4 monkeys, 5 toads, and 1 black cat. How many animals does the witch have?",10,"To find the total number of animals the witch has, you add up the number of each type of animal she has. She has 4 monkeys, 5 toads, and 1 black cat. So, you add these numbers together: 4 (monkeys) + 5 (toads) + 1 (black cat) = 10 animals in total.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
"How much money would you need to buy a goldfish, a fish tank, and fish food ?  A fish tank is 10 dollars, goldfishes are 8 dollars each and fish food is 2 dollars.",20,"To find the total cost, add the prices of each item you want to buy. You need a fish tank for 10 dollars, a goldfish for 8 dollars, and fish food for 2 dollars. So, the total cost is 10 + 8 + 2, which equals 20 dollars. Therefore, you would need 20 dollars in total to buy a goldfish, a fish tank, and fish food.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
"The zoo has 6 meerkats, 3 wild boars, and 2 young lions. How many animals are at the zoo?",11,"To find the total number of animals at the zoo, you simply add together the number of each type of animal. There are 6 meerkats, 3 wild boars, and 2 young lions at the zoo. So, you add these numbers: 6 + 3 + 2. This results in a total of 11 animals at the zoo.",1st grade,Addition and subtraction,Addition within 20,adding-three-numbers,integer-addition-subtraction,Word Problem,True,train
Complete the equation. 13=diamondsuit+2 \diamondsuit= ?,11,"To find the value of diamondsuit, you need to solve the equation 13 = diamondsuit + 2. To do this, subtract 2 from both sides of the equation: 13 - 2 = diamondsuit. This simplifies to diamondsuit = 11. So, the missing value is 11.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 2=14-\diamondsuit \diamondsuit= ?,12,"To solve for the missing number represented by the diamond symbol, you rearrange the equation \(2 = 14 - \diamondsuit\) to isolate the diamond. You do this by subtracting 14 from both sides, leading to 

\(2 - 14 = -\diamondsuit\).

So,

\(-12 = -\diamondsuit\).

To solve for the diamond, you remove the negative sign, finding that \(\diamondsuit = 12\). Therefore, the diamond symbol equals 12, making the original answer correct.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 4=diamondsuit-9 \diamondsuit= ?,13,"To find the value for the ""diamondsuit"" symbol, you need to solve the equation: 4 = diamondsuit - 9. To do this, add 9 to both sides of the equation to isolate ""diamondsuit"" on one side. This gives you: 4 + 9 = diamondsuit. Thus, diamondsuit = 13. Therefore, the correct answer is 13.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 20=7+ \diamondsuit \diamondsuit= ?,13,"To complete the equation 20 = 7 + ?, we need to find what number, when added to 7, gives us 20. So, we can solve for the missing value by subtracting 7 from 20:

20 - 7 = 13

Therefore, the missing value is 13. So, the complete equation is 20 = 7 + 13.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 13-\diamondsuit=6 \diamondsuit= ?,7,"To solve the equation 13 - ◊ = 6, we need to determine the value of ◊ that makes the equation true. We can find ◊ by subtracting 6 from 13: 

13 - 6 = 7.

So, ◊ = 7. Therefore, 13 - 7 = 6, completing the equation correctly.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. \diamondsuit-15=3 \diamondsuit= ?,18,"To solve the equation ◊ - 15 = 3, you need to isolate ◊ by getting rid of the -15. You can do this by adding 15 to both sides of the equation. So, you have: ◊ - 15 + 15 = 3 + 15. This simplifies to ◊ = 18. Therefore, ◊ equals 18. Your answer of 18 is correct.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 8=diamondsuit-4 \diamondsuit= ?,12,"To find what the diamond suit symbol represents in the equation 8 = diamond suit - 4, you need to isolate the diamond suit. Start by adding 4 to both sides of the equation:

8 + 4 = diamond suit 

This simplifies to:

12 = diamond suit

So, the diamond suit symbol equals 12.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 8=11-,3,"To find the missing number in the equation \(8 = 11 - \, \underline{\;} \), you simply need to determine what number, when subtracted from 11, gives you 8. By subtracting 8 from 11, you get 3. Thus, the missing number is 3, completing the equation as \(8 = 11 - 3\).",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 9 + \diamondsuit=17 \diamondsuit= ?,8,"To find the value of the diamond symbol, you need to determine what number, when added to 9, equals 17. Simply subtract 9 from 17 to find the missing value:

17 - 9 = 8

Therefore, the diamond symbol equals 8. So, the equation 9 + diamond = 17 is completed by setting the diamond equal to 8.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 5+\diamondsuit=11 \diamondsuit= ?,11,"In the equation 5 + ◊ = 11, you need to find the value of ◊ that makes the equation true. You can do this by subtracting 5 from both sides of the equation:

11 - 5 = ◊

This simplifies to:

◊ = 6

So, the value of ◊ is 6, not 11. You may have meant that the equation equals 11, but the missing number ◊ is 6.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 9=16-,7,"To find the missing number in the equation 9 = 16 - ___, you need to determine what number, when subtracted from 16, equals 9. This can be done by rewriting the equation as 16 - x = 9, where x is the missing number. Subtract 9 from 16 to find x: 16 - 9 = 7. Therefore, the missing number is 7, making the complete equation 9 = 16 - 7.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 8 + \diamondsuit=12 \diamondsuit= ?,4,"To find the value of the diamond (♢) in the equation 8 + ♢ = 12, you need to determine what number, when added to 8, gives you 12. You can do this by subtracting 8 from 12: 

12 - 8 = 4

Thus, ♢ equals 4.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. \diamondsuit+6=18 \diamondsuit= ?,12,"You have the equation: diamond symbol + 6 = 18. To find the value of the diamond symbol, subtract 6 from both sides of the equation. This gives you: diamond symbol = 18 - 6, which simplifies to: diamond symbol = 12. So, the diamond symbol represents the number 12.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
Complete the equation. 19=diamondsuit+4 \diamondsuit= ?,15,"To complete the equation 19 = diamondsuit + 4, you need to find the value of diamondsuit that makes the equation true. You can do this by subtracting 4 from both sides of the equation:

19 - 4 = diamondsuit

This simplifies to:

15 = diamondsuit

So, the correct answer is that diamondsuit equals 15.",1st grade,Addition and subtraction,Missing number within 20,missing-number-within-20--add-and-subtract-?modal=2,integer-addition-subtraction,Expression,True,train
"I bought some cheese pizzas for the party. Then, I bought 3 vegetable pizzas. I bought 10 pizzas for the party. How many cheese pizzas did I buy?",7,"You initially bought a certain number of cheese pizzas. Then, you added 3 vegetable pizzas to the total. The problem states that the total number of pizzas you bought is 10. To find out how many cheese pizzas you purchased, you subtract the 3 vegetable pizzas from the total. So, 10 total pizzas minus 3 vegetable pizzas leaves you with 7 cheese pizzas. Therefore, you bought 7 cheese pizzas.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
14 teddy bears had a tea party. Some of them left to get their fur cut. 8 teddy bears stayed at the tea party. How many teddy bears left the tea party?,6,"Initially, there were 14 teddy bears at the tea party. When some of them left, 8 teddy bears remained. To find out how many left, subtract the number of bears that stayed (8) from the total number initially there (14). The subtraction 14 - 8 equals 6, so 6 teddy bears left the tea party to get their fur cut.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
"The pirates saw 20 sea creatures. Some had purple spikes, and the other 4 had giant blue polka dots. How many sea creatures had purple spikes?",16,"You start with 20 sea creatures in total. Out of these, 4 sea creatures have giant blue polka dots. To find out how many have purple spikes, you subtract the number with polka dots from the total number of sea creatures: 

20 total sea creatures - 4 with polka dots = 16 sea creatures with purple spikes.

So, 16 sea creatures had purple spikes.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
Danny bought 18 presents. He gave some to his family and the other 8 to his friends. How many presents did Danny give his family?,10,"Danny originally had 18 presents. He gave 8 presents to his friends. To find out how many presents he gave to his family, you subtract the number of presents given to his friends from the total number of presents. 

So, 18 presents (total) - 8 presents (friends) = 10 presents. 

Therefore, Danny gave 10 presents to his family.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
The zoo got 18 new animals. 3 of them are lions and the rest are monkeys. How many new monkeys did the zoo get?,15,"To find the number of new monkeys the zoo got, you start with the total number of new animals, which is 18. Then, you subtract the number of lions, which is 3. So, 18 (total animals) minus 3 (lions) equals 15 monkeys. Therefore, the zoo received 15 new monkeys. Your solution is correct.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
There are 10 wizards living in the magic castle. 5 of the wizards wear capes and the rest do not. Complete the number sentences to find how many wizards do not wear capes. 10 wizards in total  - 5 with capes = ?,5,"You start with 10 wizards in total. If 5 of these wizards wear capes, you subtract the 5 wizards with capes from the total to determine how many do not wear capes. The number sentence is: 10 - 5 = 5. So, 5 wizards do not wear capes.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
Amy put 9 toppings on her ice cream sundae. She put some cherries and 7 chocolate candies. How many cherries did Amy put on her sundae?,2,"To find out how many cherries Amy put on her sundae, you can start by noting that the total number of toppings is 9. Since 7 of those are chocolate candies, you subtract the number of chocolate candies from the total number of toppings. So, 9 total toppings minus 7 chocolate candies equals 2 cherries. Thus, Amy put 2 cherries on her ice cream sundae.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
I counted 18 butterflies in my garden. Some flew away. Then I counted 12 still there. How many butterflies flew away?,6,"You initially counted 18 butterflies. After some flew away, you counted 12 remaining in the garden. To find out how many flew away, subtract the number still there from the original number: 18 (initial butterflies) minus 12 (remaining butterflies) equals 6. So, 6 butterflies flew away.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
"Maria took 15 blocks out of the bin. After giving some of the blocks to Emily, she had 9 blocks left. How many blocks did Maria give to Emily?",6,"Maria initially had 15 blocks. After giving some to Emily, she was left with 9 blocks. To find out how many blocks she gave to Emily, you subtract the number of blocks she had left from the number she originally had. So, 15 (original blocks) minus 9 (blocks left with Maria) equals 6. Therefore, Maria gave 6 blocks to Emily.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
There are 5 birds sitting on a tree branch. 2 are robins and the rest are blue jays. Complete the number sentences to find how many of the birds are blue jays. 5 birds in all - 2 robins = ?,3,"To find out how many birds are blue jays, you start with the total number of birds on the branch, which is 5. You know that 2 of these are robins. To find the number of blue jays, you subtract the number of robins from the total number of birds: 5 (total birds) - 2 (robins) = 3. Therefore, there are 3 blue jays.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
"There were 10 people in the swimming pool. When the wind started to blow, some people got out of the pool. There were 6 people still in the pool. How many people got out of the pool?",4,"You started with 10 people in the swimming pool. After some people exited the pool due to the wind, there were 6 people remaining in the pool. To find how many got out, subtract the remaining number of people from the original number of people: 10 - 6 = 4. So, 4 people got out of the pool.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
Lisa went apple picking. She picked some apples on Saturday and 4 more on Sunday. She picked 15 apples in total. How many apples did Lisa pick on Saturday?,11,"To find out how many apples Lisa picked on Saturday, we need to subtract the number of apples she picked on Sunday from the total number of apples. She picked 15 apples in total and 4 apples on Sunday. So, the number of apples she picked on Saturday is 15 minus 4, which equals 11 apples. Thus, Lisa picked 11 apples on Saturday.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
8 friends went on a camping trip. 5 of them slept outside in sleeping bags and the rest slept in tents. Complete the number sentences to find how many friends slept in tents. 8 friends in all - 5 slept outside = ?,3,"To find out how many friends slept in tents, you subtract the number of friends who slept outside in sleeping bags from the total number of friends. You start with 8 friends in total, then subtract the 5 that slept outside, which leaves you with 3 friends. So, the number sentence is 8 - 5 = 3, meaning 3 friends slept in tents.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
The ballerina did 13 spins. She spun to the right 8 times and the rest of the spins were to the left. How many spins did she do to the left?,5,"To find out how many spins the ballerina did to the left, subtract the number of right spins from the total spins. She did 13 spins in total and spun to the right 8 times. 

So, the number of left spins is 13 minus 8, which equals 5 spins to the left.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
Julia baked 12 pies for the school bake sale. 10 were apple pies and the rest were blueberry pies. Complete the number sentences to find how many blueberry pies Julia baked. 12 pies total - 10 apple pies = ?,2,"Julia baked a total of 12 pies. Out of these, 10 were apple pies. To find out how many blueberry pies she baked, you subtract the number of apple pies from the total number of pies: 

12 pies total - 10 apple pies = 2 blueberry pies.

So, Julia baked 2 blueberry pies.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
There were some gorillas lifting weights in the gym. Then 3 more gorillas came to do yoga. Now 17 gorillas are in the gym. How many gorillas were lifting weights?,14,"To find out how many gorillas were originally lifting weights, you can set up a simple equation. Let the number of gorillas initially lifting weights be represented as ""x."" According to the problem, when 3 more gorillas joined for yoga, the total number of gorillas in the gym became 17. So, the equation is:

x + 3 = 17.

To solve for x, subtract 3 from both sides of the equation:

x = 17 - 3.

Therefore, x = 14. This means 14 gorillas were initially lifting weights.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
"We found some shells on the beach this morning. This afternoon, we found 7 more shells. In total, we found 11 shells. How many shells did we find this morning?",4,"To find out how many shells you found in the morning, you start with the total number of shells found, which is 11. You know that 7 of those were found in the afternoon. By subtracting the number found in the afternoon (7) from the total number of shells (11), you get the number of shells found in the morning. So, 11 minus 7 equals 4 shells that were found in the morning.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
12 aliens landed in our city. Some aliens were on the first spaceship. The remaining 7 aliens were on the second spaceship. How many aliens were on the first spaceship?,5,"To find out how many aliens were on the first spaceship, you can subtract the number of aliens on the second spaceship from the total number of aliens. There are 12 aliens in total and 7 were on the second spaceship. Subtract 7 from 12, which leaves you with 5 aliens on the first spaceship. So, 12 - 7 = 5.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
The great magician pulled some rabbits out of his hat. Then he pulled out 6 doves. He pulled 19 animals out of his hat. How many rabbits did he pull out of his hat?,13,"To find the number of rabbits the magician pulled out, you simply need to subtract the number of doves from the total number of animals. He pulled 19 animals in total, and 6 of them were doves. So, you calculate 19 - 6, which equals 13. Therefore, the magician pulled 13 rabbits out of his hat.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
"At the fair, I collected 15 balloons. Some of them blew away, and I had 13 left. How many balloons blew away?",2,"You initially had 15 balloons. If some blew away and you were left with 13, you can find out how many blew away by subtracting the number of balloons you have now from the number you originally had. 

So, you do: 

15 (original balloons) - 13 (balloons left) = 2 balloons blew away. 

Therefore, 2 balloons blew away.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
I have 19 pets. 17 of them are fish and the rest are cats. How many cats do I have?,2,"You started with 19 pets in total. Out of these, 17 are fish. To find out how many pets are cats, you subtract the number of fish from the total number of pets: 19 - 17 = 2. Therefore, you have 2 cats.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
Luca made 9 sandwiches for the family picnic. 6 of them were tuna and the rest were cheese. Complete the number sentences to find how many cheese sandwiches Luca made. 9 sandwiches in total - 6 tuna = ?,3,"To find how many cheese sandwiches Luca made, you start with the total number of sandwiches, which is 9. From this total, you subtract the number of tuna sandwiches, which is 6. The calculation is: 9 sandwiches in total - 6 tuna sandwiches = 3 cheese sandwiches. Therefore, Luca made 3 cheese sandwiches.",1st grade,Addition and subtraction,Word problems within 20,addition-and-subtraction-word-problems-within-20--level-2,integer-addition-subtraction,Word Problem,True,train
